Board Serial Number: WN6121703TN01
Fixture ID: 2207
Board Test Status: Passed
User Name: Engineer
Operator ID: 111036003
Project Name: Yosemite_V3
Start Test Time: April 29 2022 12:37:41
End Test Time: April 29 2022 12:37:49

Chain Name, Test Name, Test Status, Cover Extend Reading, Measured Value, Test Duration(ms), Additional Info, Test Flow Info
, FixCMD.exe, Failed, , , 0, (IgnoreTestStatus) , 
, FixCMD.exe, Passed, , , 0, (IgnoreTestStatus) True  , 
, getsn.bat, Failed, , , 0, (IgnoreTestStatus) , 
, Monitor P3V3_STBY, Passed, , P3V3_STBY(3.29), 211.9179, , Retest 123741.847
, Monitor P1V05_PCH_STBY, Passed, , P1V05_PCH_STBY(1.06), 12.6838, , Retest 123742.560
, Monitor PVCCIO_CPU, Passed, , PVCCIO_CPU(1.03), 27.7191, , Retest 123743.073
, Drive Node, Passed, , TAP1_OUT5(3.00), 62.3271, , 
CPU_U1, integrity, Passed, , , 331.3454, , Retest 123744.016
CPU_U1, idcode, Passed, , , 99.0991, , Retest 123744.016
CPU_U1, disable, Passed, , , 106.4305, , Retest 123744.016
CPU_U1, interconnect, Passed, , , 462.4982, , Retest 123744.556
CPU_U1, pullup_pulldown, Passed, , , 174.251, , Retest 123745.019
CPU_U1, disable, Passed, , , 96.3352, , 
, Drive Node, Passed, , TAP1_OUT5(3.00), 8.7753, , 
, Drive Node, Passed, , TAP1_OUT5(3.00), 12.4217, , 
, Drive Node, Passed, , TAP2_OUT5(3.00), 9.4681, , 
4DIMM, ct_4dimm_enable, Passed, , , 186.9582, , 
4DIMM, integrity, Passed, , , 323.2198, , Retest 123745.911
4DIMM, idcode, Passed, , , 100.2364, , Retest 123745.911
4DIMM, disable, Passed, , , 105.7318, , Retest 123745.911
4DIMM, pullup_pulldown, Passed, , , 336.4022, , Retest 123746.443
CPU-4DIMM, interconnect, Passed, , , 1631.7239, , Retest 123746.779
4DIMM, disable, Passed, , , 97.2384, , 
, Drive Node, Passed, , TAP1_OUT5(3.00), 10.7764, , 
, Drive Node, Passed, , TAP2_OUT5(3.00), 9.4126, , 
, Drive Node, Passed, , TAP2_OUT5(3.00), 12.8428, , 
, Drive Node, Passed, , TAP2_OUT4(3.00), 13.1515, , 
JCN21, integrity, Passed, , , 125.6886, , Retest 123748.658
JCN21, idcode, Passed, , , 98.2053, , Retest 123748.658
JCN21, disable, Passed, , , 104.5052, , Retest 123748.658
JCN21, interconnect, Passed, , , 185.2523, , Retest 123748.988
JCN21, pullup_pulldown, Passed, , , 118.217, , Retest 123749.173
JCN21, disable, Passed, , , 101.1758, , 
, Drive Node, Passed, , TAP2_OUT5(3.00), 12.1156, , 
, Drive Node, Passed, , TAP2_OUT4(3.00), 9.0085, , 
, Drive Node, Passed, , TAP1_OUT5(3.00), 13.0496, , 
, Drive Node, Passed, , TAP1_OUT4(3.00), 13.328, , 
PCH_U3, integrity, Passed, , , 167.7189, , Retest 123749.542
PCH_U3, idcode, Passed, , , 102.5797, , Retest 123749.542
, Drive Node, Passed, , TAP1_OUT5(3.00), 11.5902, , 
, Drive Node, Passed, , TAP1_OUT4(3.00), 8.1305, , 
